episode,shaped_reward,success,steps
417,-10.22000000,0,23
418,-10.18000000,0,19
419,-10.47000000,0,48
420,-10.22000000,0,23
421,-10.10000000,0,11
422,-10.43000000,0,44
423,-10.32000000,0,33
424,-10.15000000,0,16
425,-10.06000000,0,7
426,-10.17000000,0,18
427,-10.65000000,0,66
428,-10.14000000,0,15
429,-10.43000000,0,44
430,-10.86000000,0,87
431,-10.35000000,0,36
432,9.24000000,1,77
433,-10.15000000,0,16
434,-10.19000000,0,20
435,-10.39000000,0,40
436,-10.68000000,0,69
437,-10.09000000,0,10
438,-10.34000000,0,35
439,-10.11000000,0,12
440,-10.22000000,0,23
441,-10.24000000,0,25
442,-10.40000000,0,41
443,-10.45000000,0,46
444,-10.13000000,0,14
445,-10.83000000,0,84
446,-10.37000000,0,38
447,-10.39000000,0,40
448,-10.79000000,0,80
449,-10.09000000,0,10
450,-10.17000000,0,18
451,-10.70000000,0,71
452,-10.59000000,0,60
453,-10.50000000,0,51
454,-10.03000000,0,4
455,-10.12000000,0,13
456,-10.27000000,0,28
457,-10.18000000,0,19
458,-10.05000000,0,6
459,-10.06000000,0,7
460,-10.14000000,0,15
461,-10.25000000,0,26
462,-10.31000000,0,32
463,-10.12000000,0,13
464,-10.25000000,0,26
465,-10.34000000,0,35
466,-10.23000000,0,24
467,-10.49000000,0,50
468,-10.21000000,0,22
469,-10.07000000,0,8
470,-10.26000000,0,27
471,-10.03000000,0,4
472,-10.47000000,0,48
473,-10.45000000,0,46
474,-10.11000000,0,12
475,-10.25000000,0,26
476,-11.33000000,0,134
477,-10.65000000,0,66
478,-10.13000000,0,14
479,-10.07000000,0,8
480,-10.17000000,0,18
481,-10.28000000,0,29
482,-10.27000000,0,28
483,-10.86000000,0,87
484,-10.40000000,0,41
485,-10.53000000,0,54
486,-10.07000000,0,8
487,-10.03000000,0,4
488,-10.42000000,0,43
489,-10.22000000,0,23
490,-10.29000000,0,30
491,-10.08000000,0,9
492,-10.30000000,0,31
493,-10.10000000,0,11
494,-11.09000000,0,110
495,-10.23000000,0,24
496,-10.48000000,0,49
497,-10.19000000,0,20
498,-10.28000000,0,29
499,-10.58000000,0,59
500,-10.28000000,0,29
501,-10.10000000,0,11
502,-10.15000000,0,16
503,-10.09000000,0,10
504,-10.08000000,0,9
505,-10.63000000,0,64
506,-10.05000000,0,6
507,-10.10000000,0,11
508,-10.38000000,0,39
509,-10.06000000,0,7
510,-10.09000000,0,10
511,-10.55000000,0,56
512,-10.85000000,0,86
513,-10.14000000,0,15
514,-10.40000000,0,41
515,-10.15000000,0,16
516,-11.00000000,0,101
517,-10.24000000,0,25
518,-10.20000000,0,21
